oe_workers,api_workers,throughput,total_duration_sec,min_latency,avg_latency,max_latency,success_rate,sc_min,sc_avg,sc_max,mq_min,mq_avg,mq_max,oe_min,oe_avg,oe_max,oe_internal_avg_ms,oe_internal_max_ms,deploy_min,deploy_avg,deploy_max,totals_min,totals_avg,totals_max,oe_cpu_avg,oe_cpu_max,oe_mem_avg_mib,oe_mem_max_mib,rabbitmq_cpu,orchestrator_cpu,catalog_cpu,topology_cpu,mq_p50,mq_p90,mq_p95,mq_p99,oe_int_p50,oe_int_p90,oe_int_p95,oe_int_p99
1,1,24.27150663,84.37877512,35.84337234,41.03743529,54.25429344,100,1.801252365,2.406602493,5.77712059,13.26060295,16.98163664,27.12392807,6.330728531,8.40008771,13.33069801,9.908262175,18.79477501,7.996559143,10.53549151,16.59011841,33.32042694,38.32381836,50.70996284,4.53023386,4.53023386,50.60546875,50.60546875,1.264069993,9.522175623,1.497051958,2.938722887,16.82388783,19.08910275,19.78439093,21.4657712,9.802699089,11.46523952,12.01351881,13.37274551
1,2,45.34664324,45.16321063,36.50927544,43.92320116,105.410099,100,1.806974411,2.532890183,6.125926971,13.5679245,18.1285264,50.62103271,6.419181824,9.151815437,69.03553009,10.15955012,18.79477501,8.444547653,11.24516677,19.69313622,34.17658806,41.05839878,102.5021076,6.762905211,6.762905211,51.19140625,51.19140625,2.049816573,13.30263636,2.170121511,4.127922333,17.86661148,20.54781914,21.95056677,25.31172991,10.04958153,11.76846027,12.41236925,13.7856245
1,4,56.2976583,36.37806726,43.29776764,70.81225957,94.72131729,100,1.577377319,2.569134813,5.532741547,17.72093773,44.06153655,65.49143791,6.549358368,9.713115636,16.03722572,10.43980708,25.85244179,7.869243622,11.4694084,24.53017235,40.18950462,67.8131954,91.91513062,6.647789592,6.647789592,51.96484375,51.96484375,1.427895438,13.90267756,1.997974664,4.359522258,43.72382164,49.44708347,51.72044039,56.35019302,10.31947136,12.21652031,12.87645102,14.61149693
1,8,55.84484636,36.67303491,45.26257515,142.825553,207.3385715,100,1.59239769,2.588501899,10.25128365,22.05038071,115.9565344,160.3453159,6.518602371,9.759703884,75.07705688,10.60654322,26.5147686,7.775783539,11.48327801,23.66518974,41.00799561,139.7880182,204.4062614,6.70376155,6.70376155,52.09375,52.09375,1.38935417,19.49822324,1.877795924,4.580299145,115.0205135,124.9353409,129.8790336,139.3030334,10.46788692,12.46256828,13.13565969,14.87243176
1,16,56.11527087,36.49630427,45.26758194,283.8831997,341.2280083,100,1.584291458,2.553525614,9.26232338,21.64363861,257.0784854,312.5882149,6.756305695,9.753415827,73.54235649,10.69481976,26.5147686,8.249282837,11.4724189,20.45750618,42.3169136,280.8578458,337.5604153,6.695389333,6.695389333,51.99609375,51.99609375,1.609408827,15.14777683,1.968467134,4.499336286,257.8984499,269.5675373,273.9259243,286.6948271,10.54406166,12.5408411,13.23280334,15.07264376
1,32,56.21090828,36.43420935,55.86862564,564.6388402,690.6371117,100,1.586675644,2.565385774,8.469104767,23.52619171,537.7545913,649.9545574,6.599187851,9.763297974,121.3567257,10.74926375,26.5147686,8.019924164,11.42609317,25.53081512,51.64504051,561.5093682,687.9513264,6.799620761,6.799620761,52.01953125,52.01953125,1.538909865,17.43748596,1.81532303,4.366364194,540.2898788,560.3969812,567.2325015,585.1024008,10.59997082,12.59818077,13.27719688,15.07330894
2,1,24.1217372,84.90267444,35.07971764,41.2881691,78.2828331,100,1.838922501,2.440119162,6.88123703,13.31949234,17.00116112,37.01400757,6.363630295,8.50404927,12.79640198,9.899546043,21.84557915,8.070707321,10.59679152,19.62065697,32.82833099,38.54212107,65.24348259,4.143643792,4.170653457,49.87109375,49.87890625,1.633162355,6.989588072,1.322957759,2.556460027,16.78776741,18.98875237,19.8350668,23.08969498,9.761810303,11.42964363,12.02008724,13.46098661
2,2,44.14452079,46.39307356,35.71557999,45.10888085,106.9579124,100,1.65772438,2.616913524,9.719848633,13.64827156,18.62884138,39.80445862,6.412506104,9.359854856,70.37043571,10.32571931,28.04994583,7.865905762,11.54762495,27.70376205,33.13684464,42.15323471,103.471756,3.965339285,4.047188936,50.27539063,50.29296875,1.724980679,13.08406127,2.050359994,4.125858692,18.1043148,21.89006805,23.97066355,29.81966019,10.11002064,12.17806339,12.9852891,16.02004766
2,4,75.45735757,27.14115715,39.49689865,52.76944116,100.137949,100,1.640319824,2.726126229,8.845329285,14.11509514,23.49408483,66.53094292,6.758928299,10.38168708,19.11401749,10.93326369,28.04994583,9.028434753,12.91893516,23.64444733,36.98635101,49.5208333,96.30846977,6.117582315,6.396488025,50.77734375,50.8125,2.240076589,20.73218308,2.328610816,5.224581432,21.30353451,33.89904499,38.32211494,46.71337605,10.63370705,13.33119869,14.32803869,16.79425716
2,8,93.89713896,21.8111012,48.03442955,84.79053911,160.2568626,100,1.843690872,2.992891823,10.63895226,19.07134056,52.69603373,129.9734116,7.156133652,11.28876361,81.40492439,11.53305711,28.04994583,9.376764297,14.13715875,24.06597137,44.50511932,81.11484791,157.3057175,6.303587768,6.324389447,51.08203125,51.18359375,1.64809985,26.19521793,2.79678589,6.350854908,51.59044266,68.82317066,76.8211484,90.71394444,11.19089127,14.43500519,15.67565203,18.14041138
